OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
2228,2006,SEA 43-2006,309,7116.12070619186,1730347.19681637
2229,2007,SEA 43-2007,274,4015.92011937062,815726.435593213
2230,2008,SEA 43-2008,269,5244.83052303348,1301129.84488333
2231,2009,SEA 43-2009,494,10623.6450589193,5278617.08764357
2232,2011,SEA 43-2011,279,8012.28100113092,1975047.39872847
2233,2013,SEA 43-2013,317,8576.07817025857,1420308.02999142
2234,2014,SEA 43-2014,388,7931.04342753313,3078327.97203085
2235,2015,SEA 43-2015,386,6129.71144730421,1885248.49041669
2236,2016,SEA 43-2016,371,4002.85495515115,690411.770050916
2237,2017,SEA 43-2017,451,4418.88118807173,762241.59136588
2238,2018,SEA 43-2018,649,5595.89059025586,1389257.77517835
2239,2020,SEA 43-2020,424,12831.3998076173,4262246.99884744
2240,2021,SEA 43-2021,485,5267.78679506161,1292383.43863841
2241,2023,SEA 43-2023,413,6690.90183849162,1480475.00698774
2242,2024,SEA 43-2024,323,6169.7075912877,1457957.06225124
2243,2025,SEA 43-2025,603,6005.34174611869,1878202.03404677
2244,2026,SEA 43-2026,381,5739.15452429811,1643296.45731381
2245,2027,SEA 43-2027,325,4487.86494149068,1006152.98411416
2246,2028,SEA 43-2028,444,7014.51413067535,1926467.13757118
2247,2029,SEA 43-2029,785,16557.9218255352,4146348.85521113
2248,2033,SEA 43-2033,497,5581.50436811605,1673448.02956743
2249,2034,SEA 43-2034,421,6744.89000130251,1243869.43236416
2250,2035,SEA 43-2035,764,7208.7118360136,2634672.06272096
2251,2037,SEA 43-2037,636,3570.43414056821,796763.988656682
2252,2038,SEA 43-2038,595,6402.89253173483,1431184.95252152
2253,2039,SEA 43-2039,404,4765.294729619,697832.47301612
2254,2040,SEA 43-2040,636,2372.75853853651,318057.88711965
2255,2043,SEA 43-2043,302,4748.48617204012,1023606.99196816
2256,2044,SEA 43-2044,394,5194.64130725962,1072599.94320584
2257,2045,SEA 43-2045,372,4826.1745349102,1077759.34485081
2258,2047,SEA 43-2047,757,6934.9584036602,2541025.36268097
2259,2048,SEA 43-2048,404,4828.92357676178,1469513.05266531
2260,2049,SEA 43-2049,503,5451.53451419044,1855776.83675833
2261,2050,SEA 43-2050,557,4948.10133691166,1510215.33071657
2262,2052,SEA 43-2052,583,6200.3402933253,1858333.84058203
2263,2055,SEA 43-2055,489,7002.88319472356,1267738.97556158
2264,2058,SEA 43-2058,541,6279.2321210433,1636780.27281307
2265,2059,SEA 43-2059,470,2103.30014198315,265329.197693344
2266,2061,SEA 43-2061,496,3827.69401194121,803128.051370979
2267,2064,SEA 43-2064,375,6043.44071510431,1356578.19165536
2268,2065,SEA 43-2065,850,5342.45045777974,1782864.87520472
2269,2068,SEA 43-2068,504,4345.51517728664,1145749.50980548
2270,2069,SEA 43-2069,359,4296.90719765023,1084886.12773034
2271,2071,SEA 43-2071,374,4590.730200386,1096256.91934158
2272,2074,SEA 43-2074,561,6280.07364653634,2419028.85804919
2273,2075,SEA 43-2075,410,4176.19924435916,1002832.33932337
2274,2076,SEA 43-2076,388,3834.88369107945,779367.844544511
2275,2081,SEA 43-2081,316,3487.168468224,567205.074320021
